"","City","Name","Country","UN.Region.Level.1","UN.Region.Level.2","id","lang","CollectorNm","RespondentID","CollectorID","StartDate","EndDate","IPAddress","EmailAddress","FirstName","LastName","CustomData","q01","q01x","q0201","q0202","q0203","q0204","q03","q04","q04x","q0501a","q0501b","q0502a","q0502b","q0503a","q0503b","q0504a","q0504b","q0505a","q0505b","q0506a","q0506b","q0507a","q0507b","q0508a","q0508b","q05x","q0601","q0602","q0603","q0701","q0702","q0703","q0704","q0705","q0706","q08","q0901","q0902","q10","q10x","q11","q11x","q12","q13","q1401","q14x","q1501","q1502","q1503","q1504","q15x","q1601","q1602","q1603","q1604","q16x","q1701","q17x","q1801","q1802","q1803","q1804","q18x","q19","q19x","q20","q20x","q21","q21x","q22","q23","q2401","q2402","q2403","q2404","q2405","q2501a","q2501b","q2501c","q2501d","q2501e","q2501f","q2502a","q2502b","q2502c","q2502d","q2502e","q2502f","q2503a","q2503b","q2503c","q2503d","q2503e","q2503f","q2504a","q2504b","q2504c","q2504d","q2504e","q2504f","q2505a","q2505b","q2505c","q2505d","q2505e","q2505f","q2506a","q2506b","q2506c","q2506d","q2506e","q2506f","q2507a","q2507b","q2507c","q2507d","q2507e","q2507f","q2508a","q2508b","q2508c","q2508d","q2508e","q2508f","q2509a","q2509b","q2509c","q2509d","q2509e","q2509f","q2510a","q2510b","q2510c","q2510d","q2510e","q2510f","q2511a","q2511b","q2511c","q2511d","q2511e","q2511f","q25x","q2601","q2602","q2603","q2604","q2605","q2606","q2607","q2608","q26x","q27","q28","q29","q29x","q30","q31","q31x","q32a","q32b","q32x","q3301","q3302","q3303","q3304","q3305","q3306","q3307","q3308","q3309","q3310","q33x","q34","q34x","q35","q35x","q3601","q3602","q3603","q3701","q3702","q3703","q3704","q3705","q3706","q3707","q3708","q37x","q3801","q3802","q3803","q3804","q3805","q3806","q3807","q3808","q3809","q3810","q3811","q3812","q3813","q38x","q39","q4001a","q4001b","q4001c","q4001d","q4001e","q4001f","q4002a","q4002b","q4002c","q4002d","q4002e","q4002f","q4003a","q4003b","q4003c","q4003d","q4003e","q4003f","q4004a","q4004b","q4004c","q4004d","q4004e","q4004f","q4005a","q4005b","q4005c","q4005d","q4005e","q4005f","q4006a","q4006b","q4006c","q4006d","q4006e","q4006f","q4007a","q4007b","q4007c","q4007d","q4007e","q4007f","q4008a","q4008b","q4008c","q4008d","q4008e","q4008f","q4009a","q4009b","q4009c","q4009d","q4009e","q4009f","q4010a","q4010b","q4010c","q4010d","q4010e","q4010f","q4011a","q4011b","q4011c","q4011d","q4011e","q4011f","q4012a","q4012b","q4012c","q4012d","q4012e","q4012f","q4013a","q4013b","q4013c","q4013d","q4013e","q4013f","q4014a","q4014b","q4014c","q4014d","q4014e","q4014f","q4015a","q4015b","q4015c","q4015d","q4015e","q4015f","q4016a","q4016b","q4016c","q4016d","q4016e","q4016f","q4017a","q4017b","q4017c","q4017d","q4017e","q4017f","q4018a","q4018b","q4018c","q4018d","q4018e","q4018f","q4019a","q4019b","q4019c","q4019d","q4019e","q4019f","q4020a","q4020b","q4020c","q4020d","q4020e","q4020f","q40x","q41","nQ","iQ","X41","Univ","Answered","Completion"
"52","Municipality of Rimini","Rimini","Italy","Southern Europe","Europe",120,"en",,,,,,,,,,,109,"Municipality of Rimini",,,,,1,1,"",1,,,1,1,,,,,,,,,,,,"",146854,"2013","Municipal Registry Office","2013 (Italy General Election)","80,16%","2011 (Rimini Administrative Election)","67,88%","2010 (Emilia-Romagna Regional Election)","70,36%",1157,12,12,43,"218.697.455,82",43,"211.660.744,29",1,1,10,,7,3,2,,"",,3,2,2,"other are  Regional and Provincial tiers of government",2,"",,,,11,"",1,,3,"",2,,"",2,"","","","","",,3,,4,2,4,,4,,4,1,,,4,,3,4,,,4,,3,2,2,,3,,4,4,,,4,,3,3,,,2,,4,,4,,4,,3,4,,,3,,4,3,,,4,,2,4,,,4,,3,4,,"other is a macro-provincial area planning that overcomes the administrative boundaries",1,1,1,1,1,,,,"",2,"",1,,"In accordance with the Italian Law n. 190/2012,  the Municipality of Rimini appointed the responsible for the prevention of corruption in the figure of the town clerk and approved the three-year plan for the prevention of corruption. This plan includes the three-year plan for transparency and the code of conduct for employees. all these acts are published on the municipal government's website. the plan identifies the activities at risk of illegality and corruption, the potential risks and counter-measures to be applied. among the most significant measures provided, we can cite those related to obligations of transparency and abstention in case of conflicts of interest, controls of regularity, staff turnover, the definition of protocols and operating standards, the protection of whistleblowers.",1,,5,4,"Rimini Venture 2027",1,1,1,,,1,1,1,,,"",1,"",5,"","environment redevelopment and water reclamation (protection plan for optimized bathing)","qualitative reconversion of tourism model","internal and external city transport connections",1,,1,1,1,,,,"",1,,,1,1,1,,,,,1,,,"",1,,4,,3,2,,,4,,3,1,,,4,,3,1,,,4,,3,,,,4,,,3,,,4,,3,3,3,,4,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,1,,,4,,,1,,,2,,3,4,,,2,,4,,,,2,,,4,,,,,,4,,,4,,1,1,,"other is a macro-provincial area planning that overcomes the administrative boundaries","",149,45.85,,38,"#VALUE!","#VALUE!"
"53","Município de Leiria","Leiria","Portugal","Southern Europe","Europe",103,"en",,,,,,,,,,,184,"Município de Leiria",,,,,1,1,"",,,1,,,,,,,,,,,,,1,"Central Government",126897,"2011","Stastic National Institute","2013","49,82%","","","","",620,12,12,43,"€60.906.461,63",43,"€64.770.602,59",1,2,11,,6,12,3,,"",5,12,2,,"",11,"",11,11,11,,"",2,,,"",2,,"",1,"União das Freguesias Leiria, Pousos, Barreira e Cortes","União das Freguesias Marrazes e Barosa","Freguesia da Maceira","União das Freguesias de Parceiros e Azóia","União das Freguesias de Souto da Carpalhosa e Ortigosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,1,1,1,1,,,,"",3,"",1,,"There is a Plan for Prevention of corruption and related Infractions in vigour, which was sent to the national supervising entities.",2,,,,"",1,1,,1,,1,1,,,,"",3,"",,"","Rehabilitation and manegement of the city's historical center","Parking and traffic management","",1,1,,1,1,,,,"",,1,,,1,,,,,,,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Non applicable to Portuguese reality","",69,21.23,,38,"#VALUE!","#VALUE!"
"54","Município de Vila Nova de Famalicão","Vila Nova de Famalicão","Portugal","Southern Europe","Europe",204,"es",,,,,,,,,,,184,"Município de Vila Nova de Famalicão",,,,,1,1,"",1,,1,,1,,,,,,,,,,,,"De acordo com a legislação portuguesa, os órgãos políticos do Município são os seguintes:    - A Assembleia Municipal, que exerce o poder normativo (legislativo) do Município;   - A Câmara Municipal, presidida pelo Presidente da Câmara Municipal (Alcaide), a quem compete o exercício do poder executivo.   Os dois órgãos são eleitos por sufrágio universal e direto dos cidadãos.",133974,"2011","Censos 2011- Recenseamento Geral da População","2013","64,65%","2009","69,70%","2005","72,32%",935,1,1,43,"93.755.713,08 € (dados de 2013)",43,"93.755.713,08 € (dados de 2013)",1,1,8,,5,3,4,,"",,5,2,,"",11,"",11,,11,,"",1,,,"Os limites estão definidos pela Lei das Finanças Locais.",2,,"",1,"O Município está dividido em 34 Freguesias, dotadas de autonomia administrativa e financeira e de órgãos eleitos.","","","","",1,4,,,4,,2,4,,,4,,1,4,,,4,,2,4,,,4,,1,3,,,4,,2,4,,,4,,1,2,,,4,,2,4,,,4,,,,,,,,1,3,,,4,,3,4,,,4,,"O Município de Vila Nova de Famalicão não está integrado em nenhuma área metropolitana. Em Portugal, não existem governos regionais, com exceção das regiões autónomas dos Açores e da Madeira.",1,1,1,1,1,,1,,"Conselhos consultivos municipais em diversas áreas.",2,"",1,,"O cidadão pode dar conhecimento de casos de corrupção junto das seguintes entidades:   - Ministério Público;   - Polícia Judiciária;   - Provedor de Justiça;   - Conselho de Prevenção de Corrupção, uma entidade que funciona junto do Tribunal de Contas;   - Inspeção-Geral de Finanças, a autoridade inspetiva do Estado na área da Administração Local.",1,,8,2,"Plano Estratégico do Município de Vila Nova de Famalicão 20'07-2013. Nota: Atualmente, o Município está a elaborar o Plano Estratégico 2014-2025.",1,1,1,,,1,1,1,,,"",3,"O Município tem responsabilidades legais na organização dos transportes urbanos e dos transportes escolares",,"","A promoção do desenvolvimento ecologicamente sustentável","A promoção da coesão social.","O reforço da competitividade da economia.",1,1,1,1,1,,,,"",1,,,,1,,,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Não.",109,33.54,,39,"#VALUE!","#VALUE!"
"55","Nilufer Municipality","Nilüfer/Bursa","Turkey","Western Asia","Asia",131,"en",,,,,,,,,,,225,"Nilufer Municipality",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",358265,"2013","","2014","55%","2009","54%","","",884,2,1,136,"220 Million ( 2013 )",136,"200 Million ( 2013 )",1,2,6,,6,2,3,5,"",4,,,,"",11,"",11,,,,"",1,,3,"",1,,"Bursa Metropolitan",1,"","","","","",,,4,,3,,3,,4,,3,,2,,3,,4,,3,,2,,4,,2,,4,,3,,2,,3,,4,,2,,3,,4,,2,,3,,4,,3,,4,,2,,2,,3,,4,,4,,3,,2,,"",,,,1,,,,,"",1,"",1,,"",1,,1,1,"Nilufer Strategic Plan",1,1,,,,1,1,1,,,"",3,"Metropolitan municipality authority to regulate",,"","population growth","Financial issues","decentralization problems",,,,1,,,1,,"",,,,,1,,,,,,1,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Unfortunately , the central government is only authority in many subjects which causes lack of decentralization.",93,28.62,,41,"#VALUE!","#VALUE!"
"56","Oradea City Hall","Oradea ","Romania","Eastern Europe","Europe",114,"en",,,,,,,,,,,189,"Oradea City Hall",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",196367,"2011","National Institute of Statistics","","","","","","",255,,,113,"318.445.787",113,"441.474.444",1,1,5,,,,,,"",5,,,4,"",3,"",2,,,,"",1,,3,"",1,,"Zona Metropolitana Oradea",2,"","","","","",1,2,2,2,3,2,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,"",1,1,1,1,,,,,"",1,"Hungarians",1,,"",1,,1,1,"",,,,,,,1,,,,"",2,"",5,"","Public investments","Utilities","EU Fund implementation",,,,,,,,,"",1,,,,,,,,,,,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",114,35.08,,40,"#VALUE!","#VALUE!"
"57","Pasto ","Pasto ","Colombia","South America","Latin America and the Caribbean",140,"en",,,,,,,,,,,233,"Philadelphia",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",1553165,"2013","U.S. Census Bureau","2011","20%","2007","29%","2003","20%",26000,,1,142,"not known",142,"not known",1,1,9,,9,4,2,2,"",3,2,,,"",11,"",11,11,11,,"",1,,3,"Borrowing limit equals the total value of property within city (approx $96 billion)",2,,"",1,"District","Ward","","","",1,3,2,4,3,,3,4,1,3,1,,1,4,4,4,3,,1,3,3,4,2,,2,3,2,4,3,,1,4,1,4,1,,1,4,1,4,3,,1,3,1,4,1,,2,4,1,4,3,,3,4,2,1,3,,3,2,2,2,1,,"",1,1,1,1,,,,,"",2,"",1,,"The Philadelphia Board of Ethics is a 5-member independent body was establish by ordinance, approved by voters in May 2006, and installed in November 2006.    The Board of Ethics is responsible for """"providing ethics training for all city employees, enforcing city campaign finance, financial disclosure, and conflict of interest laws, as well as rendering advice, investigating complaints and issuing fines.",1,,1,1,"Five Year Financial and Strategic Plan",1,1,,,,1,1,1,,,"",2,"",5,"","Crime Reduction","Improve Educational Outcomes","Job Growth",,1,,,,,,,"",1,,,,1,,,1,,1,,,,"",1,1,4,1,2,1,,1,4,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,,1,4,3,4,1,,1,4,1,1,1,,1,4,2,4,1,,1,4,1,4,1,,1,4,1,4,1,,1,4,1,4,1,,1,4,1,4,2,,1,4,1,4,1,,1,4,1,4,1,,1,4,1,3,1,,1,4,2,1,1,,1,4,3,3,1,,1,2,2,4,4,,1,4,3,4,2,,1,4,1,1,1,,"","",229,70.46,,39,"#VALUE!","#VALUE!"
"58","Philadelphia","Philadelphia","United States of America","Northern America","Northern America",76,"en",,,,,,,,,,,163,"Port Harcourt",,,,,2,,"",,,1,,,,,,,,,,,,1,,"The City has two local governments headed by chairmen who manage it independently with their councilors",1050000,"2010","estimates from a research student, using NPC figures","2007","350000","2011","550,000 for presidential election","","",,5,,99,"7.2 billion",99,"2.76 billion",1,1,2,,10,8,,2,"",4,7,1,,"",3,"",2,8,3,,"",1,,3,"",2,,"Port Har",1,"Obio/Akpor Local Goverbment Area","Port Harcourt City Local Govt Area","","","",,,,4,,,,1,,4,2,,,,,,4,,,,,4,,,,,,3,3,,,,,4,,,,,2,4,,,,2,,4,,,,,,3,2,,,,,3,3,,,4,,,,,"",,,,,,1,,,"",2,"",1,,"EFCC, and ICPC",2,,,,"",,,,,,,,,1,,"",1,"",5,"","Lack of Security","Basic facilities are poorly provided","there are no regulations, where there are it is anti-people",,,,,,,1,,"",,1,1,1,,,1,,,,,,,"",1,,,,4,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,3,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,3,4,,,,,3,3,,,,,2,2,,"","Administration of the State and City is not decentralized. There is excess concentration of power in the state governor.",96,29.54,,38,"#VALUE!","#VALUE!"
"59","Port Harcourt","Port Harcourt","Nigeria","Western Africa","Africa",213,"es",,,,,,,,,,,184,"Portimão",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",55614,"2011","INE","2013","46,59%","2009","54,16%","2005","51,6%",891,12,12,43,"43.628.568",43,"26.835.828",1,1,11,,5,3,2,10,"",,,,,"",,"",2,,,,"",1,,3,"32.776.774 €",1,,"AMAL - Comunidade Intermunicipal do Algarve",1,"Distrito","Concelho","Freguesia","","",,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,,,,2,,,3,,,3,,,,,,,,,,,,3,,,3,3,,,,"",1,1,1,1,1,,,,"",1,"",2,,"",2,,,,"",1,1,1,1,,1,,,,,"",3,"",,"","","","",1,,,,,,,1,"",,,,,1,1,1,,1,1,1,,,"",1,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,3,,,,,,2,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",88,27.08,,39,"#VALUE!","#VALUE!"
"60","Portimão","Portimao","Portugal","Southern Europe","Europe",143,"en",,,,,,,,,,,29,"Porto Alegre",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",1409351,"2010","","","","","","","",,,,,"",,"",1,1,,,,,,,"",,,,,"",,"",,,,,"",1,,3,"",1,,"",2,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,1,,,,"",3,"",1,,"",1,,16,4,"Master Plan of Urban and Environmental Development (20 years with updatings every 5 years)",1,,1,,,,1,1,,,"",2,"",12,"","auto financing the city","transportation, roads system","risk areas",,,1,,,,,,"",,,,1,1,1,,,,,,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","The challenge to promote more integrated action, less sectoral plan. Still too much """"department driven",40,12.31,,39,"#VALUE!","#VALUE!"
"61","Porto Alegre","Porto Alegre","Brazil","South America","Latin America and the Caribbean",126,"en",,,,,,,,,,,184,"Região Autónoma dos Açores",,,,,1,1,"",,,,,,,,,,,,,,,1,,"Tthe executive powr is exercised by the Regional Government. The Legislative power is exercised by the Regional Legislative Assembly",246772,"2011","Censos 2011","2004","105.567 voting - 55,66%","2008","90.221 voting - 46,76%","2012","107.783 - 47,88%",14495,,,43,"1.378.360.867,00",43,"1.383.152.766,59",1,1,10,,5,3,3,6,"social security contributions, transfers, loans, other revenues and balances from previous years",,2,2,,"",,"",,,,,"",1,,3,"maximum of 25% of current revenue of last exercise",2,,"",1,"national authority","regional authority","local authority","","",,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,2,,,,,,4,,,"",1,1,1,1,,,,,"",2,"",1,,"judicial mechanisms",1,,3,1,"Medium Term Guidelines",,,,,,,,,,,"",2,"",,"","","","",,,,,,,,,"",,,,,,,,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","It is was not possible to answer all the questions. Some of the questions didn't cover the specificity of your region. The Autonomous Region of the Azores, in its official designation, is part of the Portuguese Republic. It is composed of nine islands, with a total surface of 2,333 km2. Politicall, the Azores is an autonmous region since 1976, within the context of the Portuguese Republic. Its political and administrative autonomy is defined in the text of the national Constitution and in the Political and Administrative Statue of the Region.",67,20.62,,39,"#VALUE!","#VALUE!"
"62","Rio de Janeiro","Rio de Janeiro","Brazil","South America","Latin America and the Caribbean",171,"es",,,,,,,,,,,29,"Rio de Janeiro",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",6300000,"2010","IBGE - Instituto Brasileiro de Geografia e Estatística","2012","Plena, pois o voto no Brasil é obrigatório","2008","Plena, pois o voto no Brasil é obrigatório","2004","Plena, pois o voto no Brasil é obrigatório",,5,12,20,"R$ 21,8 bilhões",20,"R$ 21,8 bilhões",1,1,5,,5,2,2,,"",4,5,1,1,"",11,"",11,11,11,11,"",1,,3,"",1,,"Região Metropolitana do Rio de Janeiro - RMRJ",1,"Áreas de Planejamento = 5","Regiões Administrativas = 33","bairros = 160","","",,4,4,3,3,3,,4,3,2,,,,4,3,2,4,,,4,3,3,3,,,3,2,3,3,,,2,1,3,,3,,4,4,4,4,4,,4,1,3,3,3,,,,,,,,4,1,3,3,3,,3,1,3,3,3,"",1,1,1,,,,,,"",2,"",1,,"a sociedade civil dispõe dos DISQUE100 e outros números para denunciar irregularidades além do Ministério público estadual e federal",1,,3,2,"Além do plano estratégico existe o Plano Diretor Municipal",,1,1,,,,,,,,"",3,"",,"","mobilidade urbana","a saúde pública","segurança pública",,,,,,,1,,"",1,,,1,,,,,,,,,,"",1,,4,,,,,,4,,,,,,3,,3,,,,3,,3,,,,4,,,,,,4,3,3,,4,,3,3,3,,,,2,2,2,2,,,2,2,2,2,,,,,4,,,,,,,,4,,,,4,,,,,,,,4,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,"Todo os modos transporte público tem operação privada e infraestrutura pública","Não existe atualmente nenhum órgão metropolitano, o que impede por exemplo planejar o destino de resíduos sólidos, saneamento básico articulado, política de saúde ou transporte.",147,45.23,,40,"#VALUE!","#VALUE!"
"63","Sakarya / Sakarya Metropolitan Municipality","Sakarya","Turkey","Western Asia","Asia",133,"en",,,,,,,,,,,225,"Sakarya / Sakarya Metropolitan Municipality",,,,,1,1,"",1,,,1,,,,,,,1,,,,,,"",917373,"2013","Tuik (Turkey Statistical Institude)","2004","55117500%","2009","59145200%","2014","65132600%",1537,5,5,136,"124.000.000",136,"113.000.000",1,2,12,,,12,12,12,"",12,12,12,12,"",2,"",11,11,11,11,"",1,,1,"",2,,"Sakarya",1,"16 district","699 neigbourhoods","","","",4,4,,,1,,4,4,,,1,,2,3,,,4,,1,3,,,4,,2,3,,,4,,2,4,,,3,,2,3,,,4,,1,2,,,4,,2,4,,,4,,2,4,,,4,,3,4,,,3,,"",1,1,1,1,,,,,"",2,"",1,,"Anti-Corruption in Turkey  The Right to Information Act (2003)  The Law Regarding Establishment of State Officers Ethical Committee (2004)  Public Finance Management and Control Law (2003)  Public Procurement Law (2002)  The Law Regarding the Prevention of Laundering of Crime Revenues (2006)  The Law Regarding the Modification of Some Laws by The Banking Law (2003)   Anti-smuggling Law (2007)  Turkish Criminal Law (2004)  The Law Regarding the Modification of Some Laws by Turkish Criminal Law Number 5918 (2009)  10. Code of Criminal Procedure (2004)  11. The Law Regarding the Relationship Between Associations - Trusts and Public Administrations – Institutions (2004)  12. The Law Regarding Modification of the Petroleum Market Law (2007)  13. The Law Regarding the Modification of Some Laws for the Prevention of Bribing the Foreign State Officers in International Commercial Business Administrations (2003)  The National Market Treatment Constituted as a Part of Fighting Against (2010)  Petroleum Smuggling (2010)  Applications Within e-State (2010)  Practices Regarding Simplification of the Regulations, Decreasing the Legislative (2010)  Burdens and Paperwork and Development of Investment Occasions (2010)  For Local and International Investors (2010)  The Strategies of the Prime Ministry Communication Center which receives and       supervises applications based on complaints and demands of the citizens all around the country (2010)  The Reformation of Jurisdiction Strategy (2010)  The Fight Against Unrecorded Economy Strategy (2010)  Enhancing the Transparency and Reinforcement of Anti-corruption Strategy (2010)  The Fight Against Organized Crime Strategy (2010)",1,,5,1,"2010-2014 Strategical Plan",1,,1,,,,1,,,,"",2,"",13,"Local/Smaller Roads, Main/Larger Roads, Light Rail, Train, Traffic Management, Bus, Cycling","transport","environment (waste)","employment",,,,1,1,1,,,"",,1,,,,1,1,1,1,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",111,34.15,,39,"#VALUE!","#VALUE!"
"64","Salto de Pirapora","Salto de Pirapora","Brazil","South America","Latin America and the Caribbean",150,"es",,,,,,,,,,,29,"Salto de Pirapora",,,,,1,1,"",1,,,1,1,,1,,1,,1,,,,,,"",42000,"2010","IBGE","","","","","","",1300,9,,20,"95.000.000,00",,"R$ 92.000.000,00",1,1,4,,3,1,3,,"",,7,5,,"",2,"",2,11,11,,"",1,,3,"102% da RCL",1,,"Região metropolitana de Sorocaba",2,"","","","","",,2,2,3,1,,,3,1,1,2,,,4,2,3,2,,,4,1,3,2,,,4,1,1,1,,,3,1,2,1,,,4,1,2,2,,,4,1,3,2,,,,,,,,,4,1,2,1,,,4,1,1,1,,"",1,,,,1,,,,"",2,"",1,,"la apertura de un procedimiento administrativo para investigar la denuncia. Si procecer, habrá castigos. También hay quejas en el nivel estatal por el Tribunal de Cuentas y la Fiscalía.",2,,,,"",,,,,,,,1,,,"",1,"",5,"","mejorar la planificación urbana","","",,,,1,,,,,"",,1,,,,,,,,,1,,,"",2,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,"","",97,29.85,,38,"#VALUE!","#VALUE!"
"65","San Juan de Pasto","Pasto, Narino","Colombia","South America","Latin America and the Caribbean",202,"es",,,,,,,,,,,47,"San Juan de Pasto",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",360238,"2014","Departamento Administrativo Nacional de Estadística (DANE) - Colombia","2011","60.83%","2007","57.07%","2003","49.80%",11307,1,1,30,"333.211.000.000",30,"408.161.000.000",1,1,4,,2,2,,2,"Sobre tasa a la gasolina",,6,,,"",2,"0.10%",2,,,,"No se tienen datos sobre los otros niveles de gobierno",1,,3,"El nivel de endeudamiento no puede superar el 70% del presupuesto",2,,"",1,"Comunas","Barrios","","","",2,4,,1,2,,2,4,,4,2,,3,4,,4,4,,3,4,,4,4,,1,4,,4,2,,2,4,,3,2,,3,4,,4,3,,3,4,,4,3,,,,,,,,3,4,,4,4,,3,4,,4,3,,"",1,1,1,1,1,,,,"",1,"Comunidades Indígenas, Grupos étnicos, Mujeres, Población con discapacidad, Juventud.",1,,"Sección de PQR (Peticiones, Quejas, Reclamos) en dependencias y medios virtuales (Página web)",1,,3,1,"Transformación Productiva",1,1,1,,,1,1,,,,"",2,"Secretaría de tránsito y transporte municipal",12,"","Gobernanza en gestión integral del recurso hídrico","Gobernanza en temas de movilidad","Gobernanza para la legalización de asentamientos humanos y mejoramiento integral de barrios",,1,,,,,,,"Repotenciación del sistema de saneamiento básico e Implementación del plan de movilidad.",1,1,,,,1,,,1,,,,,"",1,1,3,1,1,1,,1,2,1,1,1,,1,2,1,1,1,,1,2,1,1,1,,1,4,1,1,1,,1,4,1,1,3,,1,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,,1,3,1,1,1,,1,4,1,1,3,,1,3,1,1,1,,,,,,,,,,,,,,1,3,1,1,3,,"","",176,54.15,,40,"#VALUE!","#VALUE!"
"66","Santa Maria da Feira","Santa Maria da Feira","Portugal","Southern Europe","Europe",223,"fr",,,,,,,,,,,184,"Santa Maria da Feira",,,,,1,1,"",1,,,1,1,,,,,,,,,,,,"",140000,"2011","Institute Nacional Estatistique","2013","58.00%","2009","60.00%","2005","60.00%",800,3,3,43,"73.000.000,00",43,"73.000.000,00",1,2,5,,4,2,2,,"",,6,3,,"",2,"1%",2,2,2,,"",1,,3,"",1,,"Porto",1,"Freguesias","","","","",,3,2,,4,,,4,2,2,4,,,3,2,3,3,,,3,1,,4,,,4,2,,4,,,4,1,,4,,,2,,,4,,,3,,,4,,,4,,,3,,,2,,,4,,,4,,,2,,"",1,1,1,1,,,,,"",1,"Femmes",1,,"inspection General Adm. Local;  I.G Finnances;  Court des Comptes; Police",1,,1,2,"Plan Directeur Municipal",1,1,1,,,,1,1,,,"",3,"",,"","Emploi","Transports","Requalification des rues",1,,,1,1,,,,"",1,1,1,,1,1,,,,,1,,,"",1,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,2,,2,,,2,2,,4,,,1,,,4,,,1,,,4,,,2,2,,4,,,2,2,,4,,,1,,,4,,,1,,,4,,,4,,,3,,,4,,,3,,,3,,,4,,,3,,,4,,,1,,,4,,,1,,,4,,,2,3,,3,,"","Oui. Le periode des mandats, doivent être de 6 ans.",148,45.54,,41,"#VALUE!","#VALUE!"
